mode,seed,noise,sp_tr,sp_te,mcp_tr,mcp_te
multi_seed,0,0.15,0.8125,0.8125,0.9875,0.9875
multi_seed,1,0.15,0.7910714285714285,0.825,0.9839285714285714,0.9583333333333334
multi_seed,2,0.15,0.8196428571428571,0.8208333333333333,0.9928571428571429,0.9708333333333333
multi_seed,3,0.15,0.8071428571428572,0.8333333333333334,0.9875,0.9875
multi_seed,4,0.15,0.8303571428571429,0.7708333333333334,0.9928571428571429,0.9791666666666666
multi_seed,5,0.15,0.8196428571428571,0.8041666666666667,0.9964285714285714,0.975
multi_seed,6,0.15,0.8107142857142857,0.8,0.9857142857142858,0.9916666666666667
multi_seed,7,0.15,0.8178571428571428,0.7916666666666666,0.9892857142857143,0.975
multi_seed,8,0.15,0.8214285714285714,0.825,0.9928571428571429,0.9791666666666666
multi_seed,9,0.15,0.7714285714285715,0.825,0.9964285714285714,0.9791666666666666
